12153296,13087920
12153456,13364192
12260896,12279232
12261008,12279232
12261120,12279232
12261232,12279232
12261344,12279232
12261456,12279232
12261568,12279232
12261680,12279232
12261792,12279232
12261904,12279232
12262016,12279232
12262128,12279232
12262240,12279232
12262352,12279232
12262464,12279232
12262576,12279232
12262688,12279232
12262800,12279232
12262912,12279232
12263024,12279232
12263136,12279232
12263248,12279232
12263360,12279232
12263472,12279232
12263584,12279232
12263696,12279232
12263808,12279232
12263920,12279232
12264032,12279232
12264144,12279232
12264256,12279232
12264368,12279232
12264480,12279232
12264592,12279232
12264704,12279232
12264816,12279232
12264928,12279232
12265040,12279232
12265152,12279232
12265264,12279232
12265376,12279232
12265488,12279232
12265600,12279232
12265712,12279232
12265824,12279232
12265936,12279232
12266048,12279232
12266160,12279232
12266272,12279232
12266384,12279232
12266496,12279232
12266608,12279232
12266720,12279232
12266832,12279232
12266944,12279232
12267056,12279232
12267168,12279232
12279568,12279232
12279680,12279232
12279792,12279232
12279904,12279232
12280016,12279232
12280128,12279232
12280240,12279232
12280352,12279232
12280464,12279232
12280576,12279232
12280688,12279232
12280800,12279232
12280912,12279232
12281024,12279232
12281136,12279232
12281248,12279232
12281360,12279232
12281472,12279232
12281584,12279232
12281696,12279232
12281808,12279232
12281920,12279232
12282032,12279232
12282144,12279232
12282256,12279232
12282368,12279232
12282480,12279232
12282592,12279232
12282704,12279232
12282816,12279232
12282928,12279232
12283040,12279232
12283152,12279232
12283264,12279232
12283376,12279232
12283488,12279232
12320544,12279232
12320656,12279232
12320768,12279232
12320880,12279232
12320992,12279232
12321104,12279232
12321216,12279232
12321328,12279232
12321440,12279232
12321552,12279232
12321664,12279232
12321776,12279232
12321888,12279232
12322000,12279232
12322112,12279232
12846224,12805120
12846336,12805120
12890224,12888992
12890336,12888992
12890448,12888992
12929168,12929056
12981216,12981104
12981776,12981104
13087808,13087920
13363408,13363968
13363520,13364192
13365424,13363968
13365536,13364192
13365648,13364192
13366208,13363968
13366320,13364192
13366432,13364192
